path,tm_id,source,category_id,base_char_name
glyph_crops_merged_by_tm/TM_61073/5_152_cat8__kornia.jpg,TM_61073,yolo,8,beta
glyph_crops_merged_by_tm/TM_61073/5_20351_cat201__opencv.jpg,TM_61073,yolo,201,upsilon
glyph_crops_merged_by_tm/TM_61073/5_20806_cat201__opencv.jpg,TM_61073,yolo,201,upsilon
glyph_crops_merged_by_tm/TM_61073/5_20689_cat23__opencv.jpg,TM_61073,yolo,23,iota
glyph_crops_merged_by_tm/TM_61073/5_708_cat177__kornia.jpg,TM_61073,yolo,177,eta
glyph_crops_merged_by_tm/TM_61073/5_751_cat225__kornia.jpg,TM_61073,yolo,225,eta
glyph_crops_merged_by_tm/TM_61073/5_20573_cat225__opencv.jpg,TM_61073,yolo,225,eta
glyph_crops_merged_by_tm/TM_61073/5_20512_cat100__opencv.jpg,TM_61073,yolo,100,xi
glyph_crops_merged_by_tm/TM_61073/5_20937_cat201__opencv.jpg,TM_61073,yolo,201,upsilon
glyph_crops_merged_by_tm/TM_61073/5_20149_cat201__opencv.jpg,TM_61073,yolo,201,upsilon
glyph_crops_merged_by_tm/TM_61073/5_20338_cat8__opencv.jpg,TM_61073,yolo,8,beta
glyph_crops_merged_by_tm/TM_61073/5_20494_cat107__opencv.jpg,TM_61073,yolo,107,epsilon
glyph_crops_merged_by_tm/TM_61073/5_20464_cat8__opencv.jpg,TM_61073,yolo,8,beta
glyph_crops_merged_by_tm/TM_61073/5_19986_cat23__opencv.jpg,TM_61073,yolo,23,iota
glyph_crops_merged_by_tm/TM_61073/5_740_cat23__kornia.jpg,TM_61073,yolo,23,iota
glyph_crops_merged_by_tm/TM_61073/5_20251_cat8__opencv.jpg,TM_61073,yolo,8,beta
glyph_crops_merged_by_tm/TM_61073/5_19793_cat23__opencv.jpg,TM_61073,yolo,23,iota
glyph_crops_merged_by_tm/TM_61073/5_20137_cat23__opencv.jpg,TM_61073,yolo,23,iota
glyph_crops_merged_by_tm/TM_61073/5_413_cat225__kornia.jpg,TM_61073,yolo,225,eta
glyph_crops_merged_by_tm/TM_61073/5_758_cat111__kornia.jpg,TM_61073,yolo,111,omicron
glyph_crops_merged_by_tm/TM_61073/5_20083_cat23__opencv.jpg,TM_61073,yolo,23,iota
glyph_crops_merged_by_tm/TM_61073/5_20335_cat119__opencv.jpg,TM_61073,yolo,119,lambda
glyph_crops_merged_by_tm/TM_61073/5_323_cat201__kornia.jpg,TM_61073,yolo,201,upsilon
glyph_crops_merged_by_tm/TM_61073/5_535_cat201__kornia.jpg,TM_61073,yolo,201,upsilon
glyph_crops_merged_by_tm/TM_61073/5_20742_cat23__opencv.jpg,TM_61073,yolo,23,iota
glyph_crops_merged_by_tm/TM_61073/5_20430_cat8__opencv.jpg,TM_61073,yolo,8,beta
glyph_crops_merged_by_tm/TM_61073/5_373_cat23__kornia.jpg,TM_61073,yolo,23,iota
glyph_crops_merged_by_tm/TM_61073/5_20005_cat23__opencv.jpg,TM_61073,yolo,23,iota
glyph_crops_merged_by_tm/TM_61073/5_896_cat23__kornia.jpg,TM_61073,yolo,23,iota
glyph_crops_merged_by_tm/TM_61073/5_879_cat177__kornia.jpg,TM_61073,yolo,177,eta
glyph_crops_merged_by_tm/TM_61073/5_762_cat23__kornia.jpg,TM_61073,yolo,23,iota
glyph_crops_merged_by_tm/TM_61073/5_533_cat201__kornia.jpg,TM_61073,yolo,201,upsilon
glyph_crops_merged_by_tm/TM_61073/5_20457_cat225__opencv.jpg,TM_61073,yolo,225,eta
glyph_crops_merged_by_tm/TM_61073/5_20621_cat23__opencv.jpg,TM_61073,yolo,23,iota
glyph_crops_merged_by_tm/TM_61073/5_455_cat8__kornia.jpg,TM_61073,yolo,8,beta
glyph_crops_merged_by_tm/TM_61073/5_20167_cat119__opencv.jpg,TM_61073,yolo,119,lambda
glyph_crops_merged_by_tm/TM_61073/5_701_cat9__kornia.jpg,TM_61073,yolo,9,alpha
glyph_crops_merged_by_tm/TM_61073/5_223_cat201__kornia.jpg,TM_61073,yolo,201,upsilon
glyph_crops_merged_by_tm/TM_61073/5_475_cat8__kornia.jpg,TM_61073,yolo,8,beta
glyph_crops_merged_by_tm/TM_61073/5_20024_cat225__opencv.jpg,TM_61073,yolo,225,eta
glyph_crops_merged_by_tm/TM_61073/5_9_cat8__kornia.jpg,TM_61073,yolo,8,beta
glyph_crops_merged_by_tm/TM_61073/5_19880_cat119__opencv.jpg,TM_61073,yolo,119,lambda
glyph_crops_merged_by_tm/TM_61073/5_716_cat8__kornia.jpg,TM_61073,yolo,8,beta
glyph_crops_merged_by_tm/TM_61073/5_20986_cat119__opencv.jpg,TM_61073,yolo,119,lambda
glyph_crops_merged_by_tm/TM_61073/5_20810_cat201__opencv.jpg,TM_61073,yolo,201,upsilon
glyph_crops_merged_by_tm/TM_61073/5_974_cat225__kornia.jpg,TM_61073,yolo,225,eta
glyph_crops_merged_by_tm/TM_61073/5_236_cat23__kornia.jpg,TM_61073,yolo,23,iota
glyph_crops_merged_by_tm/TM_61073/5_1009_cat119__kornia.jpg,TM_61073,yolo,119,lambda
glyph_crops_merged_by_tm/TM_61073/5_20288_cat119__opencv.jpg,TM_61073,yolo,119,lambda
glyph_crops_merged_by_tm/TM_61073/5_20309_cat201__opencv.jpg,TM_61073,yolo,201,upsilon
glyph_crops_merged_by_tm/TM_61073/5_361_cat23__kornia.jpg,TM_61073,yolo,23,iota
glyph_crops_merged_by_tm/TM_61073/5_20659_cat177__opencv.jpg,TM_61073,yolo,177,eta
glyph_crops_merged_by_tm/TM_61073/5_20536_cat100__opencv.jpg,TM_61073,yolo,100,xi
glyph_crops_merged_by_tm/TM_61073/5_20720_cat23__opencv.jpg,TM_61073,yolo,23,iota
glyph_crops_merged_by_tm/TM_61073/5_120_cat23__kornia.jpg,TM_61073,yolo,23,iota
glyph_crops_merged_by_tm/TM_61073/5_20315_cat201__opencv.jpg,TM_61073,yolo,201,upsilon
glyph_crops_merged_by_tm/TM_61073/5_20700_cat107__opencv.jpg,TM_61073,yolo,107,epsilon
glyph_crops_merged_by_tm/TM_61073/5_688_cat7__kornia.jpg,TM_61073,yolo,7,alpha
glyph_crops_merged_by_tm/TM_61073/5_20192_cat23__opencv.jpg,TM_61073,yolo,23,iota
glyph_crops_merged_by_tm/TM_61073/5_20948_cat201__opencv.jpg,TM_61073,yolo,201,upsilon
glyph_crops_merged_by_tm/TM_61073/5_20868_cat201__opencv.jpg,TM_61073,yolo,201,upsilon
glyph_crops_merged_by_tm/TM_61073/5_638_cat23__kornia.jpg,TM_61073,yolo,23,iota
glyph_crops_merged_by_tm/TM_61073/5_20231_cat100__opencv.jpg,TM_61073,yolo,100,xi
glyph_crops_merged_by_tm/TM_61073/5_426_cat225__kornia.jpg,TM_61073,yolo,225,eta
glyph_crops_merged_by_tm/TM_61073/5_20171_cat201__opencv.jpg,TM_61073,yolo,201,upsilon
glyph_crops_merged_by_tm/TM_61073/5_20787_cat201__opencv.jpg,TM_61073,yolo,201,upsilon
glyph_crops_merged_by_tm/TM_61073/5_88_cat23__kornia.jpg,TM_61073,yolo,23,iota
glyph_crops_merged_by_tm/TM_61073/5_918_cat119__kornia.jpg,TM_61073,yolo,119,lambda
glyph_crops_merged_by_tm/TM_61073/5_686_cat107__kornia.jpg,TM_61073,yolo,107,epsilon
glyph_crops_merged_by_tm/TM_61073/5_20642_cat107__opencv.jpg,TM_61073,yolo,107,epsilon
glyph_crops_merged_by_tm/TM_61073/5_1051_cat107__kornia.jpg,TM_61073,yolo,107,epsilon
glyph_crops_merged_by_tm/TM_61073/5_92_cat225__kornia.jpg,TM_61073,yolo,225,eta
glyph_crops_merged_by_tm/TM_61073/5_215_cat225__kornia.jpg,TM_61073,yolo,225,eta
glyph_crops_merged_by_tm/TM_61073/5_20134_cat119__opencv.jpg,TM_61073,yolo,119,lambda
glyph_crops_merged_by_tm/TM_61073/5_19938_cat177__opencv.jpg,TM_61073,yolo,177,eta
glyph_crops_merged_by_tm/TM_61073/5_921_cat119__kornia.jpg,TM_61073,yolo,119,lambda
glyph_crops_merged_by_tm/TM_61073/5_189_cat23__kornia.jpg,TM_61073,yolo,23,iota
glyph_crops_merged_by_tm/TM_61073/5_20226_cat23__opencv.jpg,TM_61073,yolo,23,iota
glyph_crops_merged_by_tm/TM_61073/5_20758_cat225__opencv.jpg,TM_61073,yolo,225,eta
glyph_crops_merged_by_tm/TM_61073/5_685_cat7__kornia.jpg,TM_61073,yolo,7,alpha
glyph_crops_merged_by_tm/TM_61073/5_730_cat8__kornia.jpg,TM_61073,yolo,8,beta
glyph_crops_merged_by_tm/TM_61073/5_630_cat225__kornia.jpg,TM_61073,yolo,225,eta
glyph_crops_merged_by_tm/TM_61073/5_20650_cat8__opencv.jpg,TM_61073,yolo,8,beta
glyph_crops_merged_by_tm/TM_61073/5_272_cat23__kornia.jpg,TM_61073,yolo,23,iota
glyph_crops_merged_by_tm/TM_61073/5_233_cat23__kornia.jpg,TM_61073,yolo,23,iota
glyph_crops_merged_by_tm/TM_61073/5_580_cat9__kornia.jpg,TM_61073,yolo,9,alpha
glyph_crops_merged_by_tm/TM_61073/5_19796_cat8__opencv.jpg,TM_61073,yolo,8,beta
glyph_crops_merged_by_tm/TM_61073/5_19783_cat225__opencv.jpg,TM_61073,yolo,225,eta
glyph_crops_merged_by_tm/TM_61073/5_517_cat100__kornia.jpg,TM_61073,yolo,100,xi
glyph_crops_merged_by_tm/TM_61073/5_20996_cat201__opencv.jpg,TM_61073,yolo,201,upsilon
glyph_crops_merged_by_tm/TM_61073/5_69_cat23__kornia.jpg,TM_61073,yolo,23,iota
glyph_crops_merged_by_tm/TM_61073/5_581_cat8__kornia.jpg,TM_61073,yolo,8,beta
glyph_crops_merged_by_tm/TM_61073/5_363_cat8__kornia.jpg,TM_61073,yolo,8,beta
glyph_crops_merged_by_tm/TM_61073/5_20618_cat23__opencv.jpg,TM_61073,yolo,23,iota
glyph_crops_merged_by_tm/TM_61073/5_19883_cat119__opencv.jpg,TM_61073,yolo,119,lambda
glyph_crops_merged_by_tm/TM_61073/5_651_cat23__kornia.jpg,TM_61073,yolo,23,iota
glyph_crops_merged_by_tm/TM_61073/5_20193_cat201__opencv.jpg,TM_61073,yolo,201,upsilon
glyph_crops_merged_by_tm/TM_61073/5_991_cat201__kornia.jpg,TM_61073,yolo,201,upsilon
glyph_crops_merged_by_tm/TM_61073/5_20070_cat201__opencv.jpg,TM_61073,yolo,201,upsilon
glyph_crops_merged_by_tm/TM_61073/5_604_cat8__kornia.jpg,TM_61073,yolo,8,beta
glyph_crops_merged_by_tm/TM_61073/5_848_cat23__kornia.jpg,TM_61073,yolo,23,iota
glyph_crops_merged_by_tm/TM_61073/5_20365_cat201__opencv.jpg,TM_61073,yolo,201,upsilon
glyph_crops_merged_by_tm/TM_61073/5_20563_cat8__opencv.jpg,TM_61073,yolo,8,beta
glyph_crops_merged_by_tm/TM_61073/5_20657_cat201__opencv.jpg,TM_61073,yolo,201,upsilon
glyph_crops_merged_by_tm/TM_61073/5_11_cat9__kornia.jpg,TM_61073,yolo,9,alpha
glyph_crops_merged_by_tm/TM_61073/5_389_cat107__kornia.jpg,TM_61073,yolo,107,epsilon
glyph_crops_merged_by_tm/TM_61073/5_20754_cat8__opencv.jpg,TM_61073,yolo,8,beta
glyph_crops_merged_by_tm/TM_61073/5_20099_cat225__opencv.jpg,TM_61073,yolo,225,eta
glyph_crops_merged_by_tm/TM_61073/5_20026_cat225__opencv.jpg,TM_61073,yolo,225,eta
glyph_crops_merged_by_tm/TM_61073/5_20138_cat111__opencv.jpg,TM_61073,yolo,111,omicron
glyph_crops_merged_by_tm/TM_61073/5_20521_cat201__opencv.jpg,TM_61073,yolo,201,upsilon
glyph_crops_merged_by_tm/TM_61073/5_20645_cat201__opencv.jpg,TM_61073,yolo,201,upsilon
glyph_crops_merged_by_tm/TM_61073/5_224_cat23__kornia.jpg,TM_61073,yolo,23,iota
glyph_crops_merged_by_tm/TM_61073/5_105_cat225__kornia.jpg,TM_61073,yolo,225,eta
glyph_crops_merged_by_tm/TM_61073/5_20250_cat8__opencv.jpg,TM_61073,yolo,8,beta
glyph_crops_merged_by_tm/TM_61073/5_34_cat8__kornia.jpg,TM_61073,yolo,8,beta
glyph_crops_merged_by_tm/TM_61073/5_20379_cat225__opencv.jpg,TM_61073,yolo,225,eta
glyph_crops_merged_by_tm/TM_61073/5_20779_cat201__opencv.jpg,TM_61073,yolo,201,upsilon
glyph_crops_merged_by_tm/TM_61073/5_20434_cat77__opencv.jpg,TM_61073,yolo,77,epsilon
glyph_crops_merged_by_tm/TM_61073/5_20032_cat225__opencv.jpg,TM_61073,yolo,225,eta
glyph_crops_merged_by_tm/TM_61073/5_20369_cat119__opencv.jpg,TM_61073,yolo,119,lambda
glyph_crops_merged_by_tm/TM_61073/5_19779_cat23__opencv.jpg,TM_61073,yolo,23,iota
glyph_crops_merged_by_tm/TM_61073/5_20794_cat8__opencv.jpg,TM_61073,yolo,8,beta
glyph_crops_merged_by_tm/TM_61073/5_20847_cat225__opencv.jpg,TM_61073,yolo,225,eta
glyph_crops_merged_by_tm/TM_61073/5_20086_cat119__opencv.jpg,TM_61073,yolo,119,lambda
glyph_crops_merged_by_tm/TM_61073/5_20596_cat7__opencv.jpg,TM_61073,yolo,7,alpha
glyph_crops_merged_by_tm/TM_61073/5_20197_cat23__opencv.jpg,TM_61073,yolo,23,iota
glyph_crops_merged_by_tm/TM_61073/5_634_cat201__kornia.jpg,TM_61073,yolo,201,upsilon
glyph_crops_merged_by_tm/TM_61073/5_374_cat23__kornia.jpg,TM_61073,yolo,23,iota
glyph_crops_merged_by_tm/TM_61073/5_1_cat8__kornia.jpg,TM_61073,yolo,8,beta
glyph_crops_merged_by_tm/TM_61073/5_20825_cat100__opencv.jpg,TM_61073,yolo,100,xi
glyph_crops_merged_by_tm/TM_61073/5_473_cat77__kornia.jpg,TM_61073,yolo,77,epsilon
glyph_crops_merged_by_tm/TM_61073/5_19957_cat8__opencv.jpg,TM_61073,yolo,8,beta
glyph_crops_merged_by_tm/TM_61073/5_19844_cat119__opencv.jpg,TM_61073,yolo,119,lambda
glyph_crops_merged_by_tm/TM_61073/5_19805_cat100__opencv.jpg,TM_61073,yolo,100,xi
glyph_crops_merged_by_tm/TM_61073/5_629_cat119__kornia.jpg,TM_61073,yolo,119,lambda
glyph_crops_merged_by_tm/TM_61073/5_20202_cat100__opencv.jpg,TM_61073,yolo,100,xi
glyph_crops_merged_by_tm/TM_61073/5_20001_cat7__opencv.jpg,TM_61073,yolo,7,alpha
glyph_crops_merged_by_tm/TM_61073/5_20527_cat225__opencv.jpg,TM_61073,yolo,225,eta
glyph_crops_merged_by_tm/TM_61073/5_425_cat8__kornia.jpg,TM_61073,yolo,8,beta
glyph_crops_merged_by_tm/TM_61073/5_20477_cat100__opencv.jpg,TM_61073,yolo,100,xi
glyph_crops_merged_by_tm/TM_61073/5_20397_cat8__opencv.jpg,TM_61073,yolo,8,beta
glyph_crops_merged_by_tm/TM_61073/5_318_cat201__kornia.jpg,TM_61073,yolo,201,upsilon
glyph_crops_merged_by_tm/TM_61073/5_433_cat7__kornia.jpg,TM_61073,yolo,7,alpha
glyph_crops_merged_by_tm/TM_61073/5_1034_cat100__kornia.jpg,TM_61073,yolo,100,xi
glyph_crops_merged_by_tm/TM_61073/5_136_cat23__kornia.jpg,TM_61073,yolo,23,iota
glyph_crops_merged_by_tm/TM_61073/5_20008_cat23__opencv.jpg,TM_61073,yolo,23,iota
glyph_crops_merged_by_tm/TM_61073/5_839_cat225__kornia.jpg,TM_61073,yolo,225,eta
glyph_crops_merged_by_tm/TM_61073/5_20671_cat23__opencv.jpg,TM_61073,yolo,23,iota
glyph_crops_merged_by_tm/TM_61073/5_19902_cat23__opencv.jpg,TM_61073,yolo,23,iota
glyph_crops_merged_by_tm/TM_61073/5_20734_cat23__opencv.jpg,TM_61073,yolo,23,iota
glyph_crops_merged_by_tm/TM_61073/5_19935_cat201__opencv.jpg,TM_61073,yolo,201,upsilon
glyph_crops_merged_by_tm/TM_61073/5_20169_cat111__opencv.jpg,TM_61073,yolo,111,omicron
glyph_crops_merged_by_tm/TM_61073/5_299_cat201__kornia.jpg,TM_61073,yolo,201,upsilon
glyph_crops_merged_by_tm/TM_61073/5_20894_cat107__opencv.jpg,TM_61073,yolo,107,epsilon
glyph_crops_merged_by_tm/TM_61073/5_20562_cat201__opencv.jpg,TM_61073,yolo,201,upsilon
glyph_crops_merged_by_tm/TM_61073/5_364_cat23__kornia.jpg,TM_61073,yolo,23,iota
glyph_crops_merged_by_tm/TM_61073/5_20224_cat225__opencv.jpg,TM_61073,yolo,225,eta
glyph_crops_merged_by_tm/TM_61073/5_495_cat169__kornia.jpg,TM_61073,yolo,169,eta
glyph_crops_merged_by_tm/TM_61073/5_1004_cat201__kornia.jpg,TM_61073,yolo,201,upsilon
glyph_crops_merged_by_tm/TM_61073/5_831_cat119__kornia.jpg,TM_61073,yolo,119,lambda
glyph_crops_merged_by_tm/TM_61073/5_602_cat225__kornia.jpg,TM_61073,yolo,225,eta
glyph_crops_merged_by_tm/TM_61073/5_19874_cat23__opencv.jpg,TM_61073,yolo,23,iota
glyph_crops_merged_by_tm/TM_61073/5_1055_cat201__kornia.jpg,TM_61073,yolo,201,upsilon
glyph_crops_merged_by_tm/TM_61073/5_439_cat77__kornia.jpg,TM_61073,yolo,77,epsilon
glyph_crops_merged_by_tm/TM_61073/5_20697_cat201__opencv.jpg,TM_61073,yolo,201,upsilon
glyph_crops_merged_by_tm/TM_61073/5_20188_cat8__opencv.jpg,TM_61073,yolo,8,beta
glyph_crops_merged_by_tm/TM_61073/5_20705_cat119__opencv.jpg,TM_61073,yolo,119,lambda
glyph_crops_merged_by_tm/TM_61073/5_938_cat23__kornia.jpg,TM_61073,yolo,23,iota
glyph_crops_merged_by_tm/TM_61073/5_999_cat23__kornia.jpg,TM_61073,yolo,23,iota
glyph_crops_merged_by_tm/TM_61073/5_1016_cat107__kornia.jpg,TM_61073,yolo,107,epsilon
glyph_crops_merged_by_tm/TM_61073/5_19768_cat107__opencv.jpg,TM_61073,yolo,107,epsilon
glyph_crops_merged_by_tm/TM_61073/5_20052_cat23__opencv.jpg,TM_61073,yolo,23,iota
glyph_crops_merged_by_tm/TM_61073/5_20747_cat107__opencv.jpg,TM_61073,yolo,107,epsilon
glyph_crops_merged_by_tm/TM_61073/5_178_cat225__kornia.jpg,TM_61073,yolo,225,eta
glyph_crops_merged_by_tm/TM_61073/5_20465_cat7__opencv.jpg,TM_61073,yolo,7,alpha
glyph_crops_merged_by_tm/TM_61073/5_20680_cat111__opencv.jpg,TM_61073,yolo,111,omicron
glyph_crops_merged_by_tm/TM_61073/5_19897_cat201__opencv.jpg,TM_61073,yolo,201,upsilon
glyph_crops_merged_by_tm/TM_61073/5_776_cat119__kornia.jpg,TM_61073,yolo,119,lambda
glyph_crops_merged_by_tm/TM_61073/5_561_cat8__kornia.jpg,TM_61073,yolo,8,beta
glyph_crops_merged_by_tm/TM_61073/5_435_cat23__kornia.jpg,TM_61073,yolo,23,iota
glyph_crops_merged_by_tm/TM_61073/5_20030_cat225__opencv.jpg,TM_61073,yolo,225,eta
glyph_crops_merged_by_tm/TM_61073/5_383_cat119__kornia.jpg,TM_61073,yolo,119,lambda
glyph_crops_merged_by_tm/TM_61073/5_20055_cat23__opencv.jpg,TM_61073,yolo,23,iota
glyph_crops_merged_by_tm/TM_61073/5_750_cat225__kornia.jpg,TM_61073,yolo,225,eta
glyph_crops_merged_by_tm/TM_61073/5_577_cat100__kornia.jpg,TM_61073,yolo,100,xi
glyph_crops_merged_by_tm/TM_61073/5_20609_cat119__opencv.jpg,TM_61073,yolo,119,lambda
glyph_crops_merged_by_tm/TM_61073/5_928_cat8__kornia.jpg,TM_61073,yolo,8,beta
glyph_crops_merged_by_tm/TM_61073/5_20213_cat77__opencv.jpg,TM_61073,yolo,77,epsilon
glyph_crops_merged_by_tm/TM_61073/5_20776_cat201__opencv.jpg,TM_61073,yolo,201,upsilon
glyph_crops_merged_by_tm/TM_61073/5_818_cat7__kornia.jpg,TM_61073,yolo,7,alpha
glyph_crops_merged_by_tm/TM_61073/5_20436_cat119__opencv.jpg,TM_61073,yolo,119,lambda
glyph_crops_merged_by_tm/TM_61073/5_937_cat23__kornia.jpg,TM_61073,yolo,23,iota
glyph_crops_merged_by_tm/TM_61073/5_104_cat107__kornia.jpg,TM_61073,yolo,107,epsilon
glyph_crops_merged_by_tm/TM_61073/5_467_cat100__kornia.jpg,TM_61073,yolo,100,xi
glyph_crops_merged_by_tm/TM_61073/5_650_cat8__kornia.jpg,TM_61073,yolo,8,beta
glyph_crops_merged_by_tm/TM_61073/5_488_cat225__kornia.jpg,TM_61073,yolo,225,eta
glyph_crops_merged_by_tm/TM_61073/5_19845_cat8__opencv.jpg,TM_61073,yolo,8,beta
glyph_crops_merged_by_tm/TM_61073/5_19924_cat119__opencv.jpg,TM_61073,yolo,119,lambda
glyph_crops_merged_by_tm/TM_61073/5_20161_cat201__opencv.jpg,TM_61073,yolo,201,upsilon
glyph_crops_merged_by_tm/TM_61073/5_469_cat225__kornia.jpg,TM_61073,yolo,225,eta
glyph_crops_merged_by_tm/TM_61073/5_953_cat23__kornia.jpg,TM_61073,yolo,23,iota
glyph_crops_merged_by_tm/TM_61073/5_19865_cat8__opencv.jpg,TM_61073,yolo,8,beta
glyph_crops_merged_by_tm/TM_61073/5_20507_cat8__opencv.jpg,TM_61073,yolo,8,beta
glyph_crops_merged_by_tm/TM_61073/5_20203_cat9__opencv.jpg,TM_61073,yolo,9,alpha
glyph_crops_merged_by_tm/TM_61073/5_597_cat201__kornia.jpg,TM_61073,yolo,201,upsilon
glyph_crops_merged_by_tm/TM_61073/5_834_cat100__kornia.jpg,TM_61073,yolo,100,xi
glyph_crops_merged_by_tm/TM_61073/5_20142_cat100__opencv.jpg,TM_61073,yolo,100,xi
glyph_crops_merged_by_tm/TM_61073/5_20145_cat23__opencv.jpg,TM_61073,yolo,23,iota
glyph_crops_merged_by_tm/TM_61073/5_20000_cat7__opencv.jpg,TM_61073,yolo,7,alpha
glyph_crops_merged_by_tm/TM_61073/5_20460_cat8__opencv.jpg,TM_61073,yolo,8,beta
glyph_crops_merged_by_tm/TM_61073/5_663_cat225__kornia.jpg,TM_61073,yolo,225,eta
glyph_crops_merged_by_tm/TM_61073/5_518_cat8__kornia.jpg,TM_61073,yolo,8,beta
glyph_crops_merged_by_tm/TM_61073/5_20912_cat119__opencv.jpg,TM_61073,yolo,119,lambda
glyph_crops_merged_by_tm/TM_61073/5_1038_cat225__kornia.jpg,TM_61073,yolo,225,eta
glyph_crops_merged_by_tm/TM_61073/5_20472_cat8__opencv.jpg,TM_61073,yolo,8,beta
glyph_crops_merged_by_tm/TM_61073/5_19931_cat201__opencv.jpg,TM_61073,yolo,201,upsilon
glyph_crops_merged_by_tm/TM_61073/5_19999_cat8__opencv.jpg,TM_61073,yolo,8,beta
glyph_crops_merged_by_tm/TM_61073/5_20820_cat8__opencv.jpg,TM_61073,yolo,8,beta
glyph_crops_merged_by_tm/TM_61073/5_20731_cat107__opencv.jpg,TM_61073,yolo,107,epsilon
glyph_crops_merged_by_tm/TM_61073/5_338_cat8__kornia.jpg,TM_61073,yolo,8,beta
glyph_crops_merged_by_tm/TM_61073/5_763_cat100__kornia.jpg,TM_61073,yolo,100,xi
glyph_crops_merged_by_tm/TM_61073/5_20707_cat23__opencv.jpg,TM_61073,yolo,23,iota
glyph_crops_merged_by_tm/TM_61073/5_20406_cat119__opencv.jpg,TM_61073,yolo,119,lambda
glyph_crops_merged_by_tm/TM_61073/5_332_cat201__kornia.jpg,TM_61073,yolo,201,upsilon
glyph_crops_merged_by_tm/TM_61073/5_19955_cat7__opencv.jpg,TM_61073,yolo,7,alpha
